日期,主体ID,主体类型,主体名称,展现量,点击量,花费,点击率,平均点击花费,千次展现花费,总预售成交金额,总预售成交笔数,直接预售成交金额,直接预售成交笔数,间接预售成交金额,间接预售成交笔数,直接成交金额,间接成交金额,总成交金额,总成交笔数,直接成交笔数,间接成交笔数,点击转化率,投入产出比,含预售投产比,总成交成本,总购物车数,直接购物车数,间接购物车数,加购率,收藏宝贝数,收藏店铺数,店铺收藏成本,总收藏加购数,总收藏加购成本,宝贝收藏加购数,宝贝收藏加购成本,总收藏数,宝贝收藏成本,宝贝收藏率,加购成本,拍下订单笔数,拍下订单金额,直接收藏宝贝数,间接收藏宝贝数,优惠券领取量,购物金充值笔数,购物金充值金额,旺旺咨询量,引导访问量,引导访问人数,引导访问潜客数,引导访问潜客占比,入会率,入会量,引导访问率,深度访问量,平均访问页面数,成交新客数,成交新客占比,会员首购人数,会员成交金额,会员成交笔数,成交人数,人均成交笔数,人均成交金额,自然流量转化金额,自然流量曝光量,平台补贴金额,补贴引导成交金额,发券补贴商品个数,补贴引导成交人数
2026-06-21,1051399561991,商品,加厚本色竹纤维一次性纸杯原浆牛皮纸家用喝水杯商用办公咖啡纸杯,2,0,0.00,0,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0.00,0,0,0,0,0.00,0,0,0,0,,,0,0,0,,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0,0
2026-06-21,1050466262149,商品,网红爆款咖啡杯一次性杯子奶茶纸杯食品级热饮茶外带带盖商用定制,10,0,0.00,0,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0.00,0,0,0,0,0.00,0,0,0,0,,,0,0,0,,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0,0
2026-06-21,1050465990497,商品,咖啡杯纸杯一次性带盖卡通热饮奶茶纸杯子外带打包杯定制logo商用,8,0,0.00,0,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0.00,0,0,0,0,0.00,0,0,0,0,,,0,0,0,,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0,0
2026-06-21,1050465834879,商品,加厚加硬牛皮纸杯家用一次性杯子门店水杯招待水杯小号可定制,1,0,0.00,0,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0.00,0,0,0,0,0.00,0,0,0,0,,,0,0,0,,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0,0
2026-06-21,1050465834866,商品,咖啡杯子一次性纸杯奶茶杯子热饮带盖商用烘焙店外带打包定制logo,5,0,0.00,0,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0.00,0,0,0,0,0.00,0,1,1,1,1,,0,0.2,0,1,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0,0
2026-06-21,1050432438628,商品,90口径一次性商用隔热咖啡纸杯双层加厚中空杯奶茶冷热饮克定制,6,0,0.00,0,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0.00,0,0,0,0,0.00,0,0,0,0,,,0,0,0,,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0,0
2026-06-21,1050432326660,商品,一次性纸杯加厚加硬防烫食品级牛皮纸水杯家用高级感办公室ins风,2,0,0.00,0,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0.00,0,0,0,0,0.00,0,0,0,0,,,0,0,0,,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0,0
2026-06-21,1050432198859,商品,一次性咖啡杯纸杯带盖水杯家用商用打包杯热饮纸杯加厚双层奶茶杯,4,0,0.00,0,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0.00,0,0,0,0,0.00,0,0,0,0,,,0,0,0,,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0,0
2026-06-21,1049706439173,商品,牛皮纸一次性水杯特厚家用高级感咖啡饮料奶茶杯办公室待客茶水杯,1,0,0.00,0,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0.00,0,0,0,0,0.00,0,0,0,0,,,0,0,0,,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0,0
2026-06-21,1049673871493,商品,卡通一次性咖啡杯定制奶茶纸杯创意外卖热饮打包双层商业杯子带盖,3,0,0.00,0,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0.00,0,0,0,0,0.00,0,0,0,0,,,0,0,0,,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0,0
2026-06-21,1049673815444,商品,纸杯一次性牛皮纸杯家用喝水纸杯门店招待客人泡茶杯子可定制logo,11,0,0.00,0,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0.00,0,0,0,0,0.00,0,0,0,0,,,0,0,0,,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0,0
2026-06-21,1049673515995,商品,咖啡杯子一次性咖啡杯奶茶纸杯专用外带打包带盖商用热饮定制logo,1,0,0.00,0,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0.00,0,0,0,0,0.00,0,0,0,0,,,0,0,0,,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0,0
2026-06-21,1042634340182,商品,一次性咖啡杯定制印logo商用带盖热饮豆浆打包奶茶店专用纸杯定制,50,1,0.07,0.02,0.07,1.40,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,0.00,,0,0,0,0,0,0,,0,,0,,0,,0,,0,0.00,0,0,0,0,0.00,0,1,1,1,1,0,0,0.02,0,1,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0,0
2026-06-21,1042345716449,商品,咖啡杯子一次性咖啡杯奶茶纸杯专用外带打包带盖商用热饮定制logo,123,18,1.18,0.14634,0.07,9.59,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,0.00,,0,0,0,0,0,0,,0,,0,,0,,0,,0,0.00,0,0,0,0,0.00,0,25,6,6,1,0,0,0.20325,0,4,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0,0
2026-06-21,1042307009651,商品,咖啡杯一次性纸杯带盖商用专用奶茶热饮纸杯子外带打包杯定制logo,1141,10,1.53,0.00876,0.15,1.34,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,0.00,,1,1,0,0.1,0,0,,1,1.53,1,1.53,0,,0,1.53,0,0.00,0,0,0,0,0.00,0,22,18,18,1,0,0,0.01928,4,1,0,,0,0.00,0,0,,,0.00,32,0.00,0.00,0,0
2026-06-21,1042304677977,商品,一次性奶茶纸杯子商用带盖500ml700ml热饮咖啡打包双淋膜纸杯定制,21,1,0.61,0.04762,0.61,29.05,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,0.00,,0,0,0,0,0,0,,0,,0,,0,,0,,0,0.00,0,0,0,0,0.00,0,1,1,1,1,0,0,0.04762,0,1,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0,0
2026-06-21,1042303953518,商品,氛围感一次性双层加厚咖啡纸杯带盖打包热饮杯家用治愈系奶茶杯,1,0,0.00,0,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0.00,0,0,0,0,0.00,0,0,0,0,,,0,0,0,,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0,0
